Date,Date Processed,Description,Amount
25 Feb 2024,28 Feb 2024,Amazon Purchase,270.66
19 Feb 2024,22 Feb 2024,Car Wash,19.69
16 Feb 2024,17 Feb 2024,Grocery Store,188.35
07 Feb 2024,09 Feb 2024,Hotel Stay,470.65
02 Feb 2024,05 Feb 2024,Electricity Bill,52.02
05 Feb 2024,08 Feb 2024,Netflix Subscription,14.96
02 Feb 2024,03 Feb 2024,Hotel Stay,292.61
17 Feb 2024,20 Feb 2024,Gym Membership,42.32
11 Feb 2024,13 Feb 2024,Online Course,482.8
14 Feb 2024,15 Feb 2024,Hardware Store,151.05
14 Feb 2024,15 Feb 2024,Restaurant Dinner,95.73
13 Feb 2024,16 Feb 2024,Electronics,59.57
01 Feb 2024,04 Feb 2024,Electronics,412.89
11 Feb 2024,13 Feb 2024,Gym Membership,58.35
12 Feb 2024,13 Feb 2024,Parking Fee,17.51
03 Feb 2024,05 Feb 2024,Netflix Subscription,9.28
19 Feb 2024,22 Feb 2024,Airline Ticket,796.54
15 Feb 2024,16 Feb 2024,Movie Theater,28.21
08 Feb 2024,09 Feb 2024,Fast Food,14.38
08 Feb 2024,10 Feb 2024,Hardware Store,97.53
20 Feb 2024,22 Feb 2024,Airline Ticket,707.57
07 Feb 2024,09 Feb 2024,Gym Membership,35.74
20 Feb 2024,23 Feb 2024,Movie Theater,19.25
24 Feb 2024,26 Feb 2024,Electricity Bill,131.13
28 Feb 2024,29 Feb 2024,Target Purchase,29.01
01 Feb 2024,02 Feb 2024,Spotify Subscription,9.42
06 Feb 2024,07 Feb 2024,Fast Food,19.38
11 Feb 2024,12 Feb 2024,Airline Ticket,551.94
25 Feb 2024,27 Feb 2024,Book Store,44.96
25 Feb 2024,26 Feb 2024,Clothing Store,100.25
15 Feb 2024,18 Feb 2024,Parking Fee,11.92
08 Feb 2024,10 Feb 2024,Book Store,6.59
19 Feb 2024,20 Feb 2024,Movie Theater,25.24
04 Feb 2024,07 Feb 2024,Restaurant Dinner,99.65
23 Feb 2024,24 Feb 2024,Restaurant Dinner,99.14
26 Feb 2024,27 Feb 2024,Restaurant Dinner,81.7
21 Feb 2024,23 Feb 2024,Clothing Store,59.05
12 Feb 2024,13 Feb 2024,Book Store,43.03
15 Feb 2024,17 Feb 2024,Pet Supplies,76.21
24 Feb 2024,27 Feb 2024,Cell Phone Bill,50.42
01 Feb 2024,02 Feb 2024,Hardware Store,67.35
18 Feb 2024,19 Feb 2024,Grocery Store,138.4
09 Feb 2024,12 Feb 2024,Pet Supplies,92.77
08 Feb 2024,09 Feb 2024,Pet Supplies,97.8
19 Feb 2024,21 Feb 2024,Target Purchase,71.22
13 Feb 2024,14 Feb 2024,Netflix Subscription,9.26
04 Feb 2024,07 Feb 2024,Starbucks Coffee,3.68
10 Feb 2024,13 Feb 2024,Restaurant Dinner,92.55
16 Feb 2024,19 Feb 2024,Fast Food,5.55
09 Feb 2024,10 Feb 2024,Online Course,441.51
20 Feb 2024,21 Feb 2024,Grocery Store,82.01
15 Feb 2024,16 Feb 2024,Grocery Store,199.97
13 Feb 2024,14 Feb 2024,Spotify Subscription,9.8
07 Feb 2024,08 Feb 2024,Parking Fee,23.62
11 Feb 2024,13 Feb 2024,Pet Supplies,66.08
05 Feb 2024,07 Feb 2024,Hardware Store,77.21
22 Feb 2024,24 Feb 2024,Movie Theater,28.52
05 Feb 2024,06 Feb 2024,Online Course,181.83
14 Feb 2024,17 Feb 2024,Grocery Store,31.86
03 Feb 2024,04 Feb 2024,Spotify Subscription,9.08
26 Feb 2024,28 Feb 2024,Pet Supplies,30.97
03 Feb 2024,05 Feb 2024,Electricity Bill,75.98
01 Feb 2024,03 Feb 2024,Amazon Purchase,70.8
04 Feb 2024,05 Feb 2024,Online Course,492.11
13 Feb 2024,16 Feb 2024,Netflix Subscription,10.3
26 Feb 2024,27 Feb 2024,Hotel Stay,111.82
19 Feb 2024,21 Feb 2024,Clothing Store,143.84
06 Feb 2024,08 Feb 2024,Car Wash,18.78
09 Feb 2024,12 Feb 2024,Target Purchase,90.65
05 Feb 2024,08 Feb 2024,Target Purchase,86.46
16 Feb 2024,19 Feb 2024,Hotel Stay,432.64
05 Feb 2024,08 Feb 2024,Clothing Store,84.5
10 Feb 2024,12 Feb 2024,Clothing Store,72.43
03 Feb 2024,04 Feb 2024,Grocery Store,132.72
21 Feb 2024,22 Feb 2024,Uber Ride,28.72
09 Feb 2024,10 Feb 2024,Gas Station,37.94
07 Feb 2024,08 Feb 2024,Hardware Store,33.24
09 Feb 2024,11 Feb 2024,Gym Membership,50.09
27 Feb 2024,01 Mar 2024,Car Wash,28.52
03 Feb 2024,06 Feb 2024,Book Store,36.35
16 Feb 2024,17 Feb 2024,Cell Phone Bill,51.48
14 Feb 2024,15 Feb 2024,Netflix Subscription,12.02
19 Feb 2024,20 Feb 2024,Pet Supplies,31.52
02 Feb 2024,03 Feb 2024,Airline Ticket,125.67
18 Feb 2024,19 Feb 2024,Fast Food,15.81
25 Feb 2024,26 Feb 2024,Electronics,426.26
17 Feb 2024,20 Feb 2024,Pharmacy,26.34
06 Feb 2024,09 Feb 2024,Hardware Store,22.05
21 Feb 2024,24 Feb 2024,Target Purchase,64.85
09 Feb 2024,11 Feb 2024,Grocery Store,165.58
24 Feb 2024,26 Feb 2024,Netflix Subscription,11.42
20 Feb 2024,23 Feb 2024,Hardware Store,101.52
21 Feb 2024,23 Feb 2024,Airline Ticket,902.75
03 Feb 2024,04 Feb 2024,Car Wash,15.67
05 Feb 2024,06 Feb 2024,Starbucks Coffee,8.11
15 Feb 2024,17 Feb 2024,Gas Station,97.28
16 Feb 2024,17 Feb 2024,Spotify Subscription,9.09
17 Feb 2024,19 Feb 2024,Spotify Subscription,9.44
10 Feb 2024,12 Feb 2024,Parking Fee,8.89
03 Feb 2024,05 Feb 2024,Restaurant Dinner,79.26
07 Feb 2024,08 Feb 2024,Fast Food,8.17
03 Feb 2024,06 Feb 2024,Spotify Subscription,9.83
01 Feb 2024,02 Feb 2024,Target Purchase,89.35
06 Feb 2024,07 Feb 2024,Car Wash,15.77
03 Feb 2024,05 Feb 2024,Hotel Stay,232.25
